Resume,Category,Skills
"Experienced in process engineering and optimization. Proficient chemical engineer with a background in hysys, safety management, chemcad, process design, process engineering.",Chemical Engineer,"HYSYS, Safety Management, ChemCAD, Process Design, Process Engineering"
"Experienced in financial reporting and tax preparation. Proficient accountant with a background in excel, financial reporting, auditing, budgeting, accounts payable/receivable, payroll, quickbooks.",Accountant,"Excel, Financial Reporting, Auditing, Budgeting, Accounts Payable/Receivable, Payroll, QuickBooks"
"Experienced in using CAD software for product design and development. Proficient mechanical engineer with a background in ansys, solidworks, product design, autocad, cad, fluid mechanics.",Mechanical Engineer,"ANSYS, SolidWorks, Product Design, AutoCAD, CAD, Fluid Mechanics"
"Skilled in using Python libraries such as Pandas, NumPy, and Scikit-learn. Proficient data scientist with a background in machine learning, data analysis, deep learning, statistics, data visualization, big data, r.",Data Scientist,"Machine Learning, Data Analysis, Deep Learning, Statistics, Data Visualization, Big Data, R"
"Proficient in using Tableau for data visualization and reporting. Proficient business analyst with a background in data modeling, excel, requirements analysis, business process improvement, business intelligence, sql.",Business Analyst,"Data Modeling, Excel, Requirements Analysis, Business Process Improvement, Business Intelligence, SQL"
"Experienced in configuring and troubleshooting network devices such as routers and switches. Proficient network engineer with a background in cisco, network security, routing and switching, tcp/ip, juniper, firewalls.",Network Engineer,"Cisco, Network Security, Routing and Switching, TCP/IP, Juniper, Firewalls"
"Proficient in front-end technologies like HTML, CSS, and JavaScript. Proficient web developer with a background in html, css, wordpress, react, responsive design, php, javascript, node.js.",Web Developer,"HTML, CSS, WordPress, React, Responsive Design, PHP, JavaScript, Node.js"
"Proficient in using Google Analytics and other marketing tools. Proficient marketing specialist with a background in google analytics, email marketing.",Marketing Specialist,"Google Analytics, Email Marketing"
"Skilled in using Python libraries such as Pandas, NumPy, and Scikit-learn. Proficient data scientist with a background in machine learning, data analysis.",Data Scientist,"Machine Learning, Data Analysis"
"Skilled in back-end development using Node.js and PHP. Proficient web developer with a background in responsive design, vue.js, php, angular, wordpress, node.js, html, css.",Web Developer,"Responsive Design, Vue.js, PHP, Angular, WordPress, Node.js, HTML, CSS"
"Experienced in developing responsive and interactive web applications. Proficient web developer with a background in react, html, wordpress, vue.js, node.js, responsive design, javascript.",Web Developer,"React, HTML, WordPress, Vue.js, Node.js, Responsive Design, JavaScript"
"Skilled in communication and stakeholder management. Proficient project manager with a background in team leadership, agile.",Project Manager,"Team Leadership, Agile"
"Experienced in using CAD software for product design and development. Proficient mechanical engineer with a background in autocad, thermodynamics, solidworks, product design.",Mechanical Engineer,"AutoCAD, Thermodynamics, SolidWorks, Product Design"
"Proficient in using Firebase for backend services and RESTful APIs for communication. Proficient application developer with a background in android development, objective-c, swift, java.",Application Developer,"Android Development, Objective-C, Swift, Java"
"Skilled in lead generation and negotiation. Proficient sales executive with a background in lead generation, sales, marketing.",Sales Executive,"Lead Generation, Sales, Marketing"
"Skilled in thermodynamics and fluid mechanics. Proficient mechanical engineer with a background in fluid mechanics, solidworks, thermodynamics, ansys, manufacturing processes, cad, autocad.",Mechanical Engineer,"Fluid Mechanics, SolidWorks, Thermodynamics, ANSYS, Manufacturing Processes, CAD, AutoCAD"
"Proficient in developing scalable and efficient software solutions using Java. Proficient software engineer with a background in sql, python, node.js, angular, restful apis, react, html/css, django, java, c++, javascript.",Software Engineer,"SQL, Python, Node.js, Angular, RESTful APIs, React, HTML/CSS, Django, Java, C++, JavaScript"
"Skilled in designing and implementing network solutions to meet business requirements. Proficient network engineer with a background in network security, routing and switching, firewalls, lan/wan, ccna, cisco.",Network Engineer,"Network Security, Routing and Switching, Firewalls, LAN/WAN, CCNA, Cisco"
"Proficient in SQL for querying databases and extracting information. Proficient data analyst with a background in statistics, sql, data visualization, data analysis, excel, reporting.",Data Analyst,"Statistics, SQL, Data Visualization, Data Analysis, Excel, Reporting"
"Skilled in communication and stakeholder management. Proficient project manager with a background in scrum, communication, project planning, team leadership, budgeting, risk management, stakeholder management.",Project Manager,"Scrum, Communication, Project Planning, Team Leadership, Budgeting, Risk Management, Stakeholder Management"
"Experienced in conducting user research and creating wireframes and prototypes. Proficient ux/ui designer with a background in adobe xd, prototyping, ux design, ui design, wireframing, user research, sketch, figma.",UX/UI Designer,"Adobe XD, Prototyping, UX Design, UI Design, Wireframing, User Research, Sketch, Figma"
"Experienced in conducting user research and creating wireframes and prototypes. Proficient ux/ui designer with a background in wireframing, ux design, ui design, user research, sketch.",UX/UI Designer,"Wireframing, UX Design, UI Design, User Research, Sketch"
